SP,MP,DP
161,113.5,82.5
162.1,113.4,82.7
155,106.9,80.3
157.3,106.9,79.3
129.6,96.7,72.6
129.5,96.6,72.8
113.5,86.7,69.8
112.6,86.6,70.8
143.1,104.1,76.4
145.1,104.2,75.7
131.6,98.9,77.6
131.2,98.7,78
149.8,104.6,71.9
121.4,87,67.6
122.1,87,68.1
114.4,88.1,69.2
115.2,88,68.3
118.7,90.4,70.5
117.9,90.5,70.7
125.9,85.1,64.1
126.6,85.1,64.5
93.5,74.8,63.4
92.7,74.8,63.5
133.3,104.4,79.9
132.2,104.2,79.8
123.5,99.1,80.3
122.8,98.8,79.4
180.3,122.6,82.2
177.5,122.7,83.5
153.3,108.5,78.5
150.4,108.6,86.1
110.6,88.5,65.8
108.6,88.6,67.3
99.9,83.4,64.8
174.3,107.3,66.7
157.4,103.1,70.5
117.8,87.7,66.2
117.5,87.9,66.8
115.1,86.7,67.8
114.3,86.8,68.4
117.5,89.5,71.7
118.5,89.5,71.3
109.8,83.6,69.5
109.5,83.4,70
162.1,96.1,61.1
163.5,96,60.3
162.4,97.5,57.9
163.1,97.4,59.9
160.8,99.3,65.5
159.9,99.3,63.2
152,97.5,64.1
152.8,97.3,62.7
144.5,95.9,62.3
143.7,96,63.3
139.2,92.6,60.3
135,92.9,64.4
115.2,86.7,53.6
135.7,96.5,77.8
135.3,96.6,77.1
140.5,98.7,70.3
140.5,98.6,71.3
124.6,85.3,62.9
124.4,85.2,63.5
95.7,73.9,58.3
129.5,95.2,71.5
130.7,95.6,71.1
107.1,80.4,65.2
106.7,80.5,65.7
131.5,87.9,57.7
132.6,88,57.9
125.3,83.8,60.6
124.7,83.8,59.6
162.4,115.3,81.1
158.7,115.4,83
144.9,108.3,81.7
144.1,108.4,87.3
139.5,107.4,80.5
123.4,94.1,76.7
125.7,79.5,53
125.7,79.6,51.6
127.6,81.9,56
126.7,82,54.5
131.8,103.4,80
132.5,103.5,79.4
123.1,94.7,76.8
122.8,94.7,77.7
139.2,98.5,75.8
123.9,98.5,77.8
124.1,98.3,77.4
122.7,92,73.3
122.7,94.5,73.9
128.3,95.5,72.1
128.6,95.6,73.2
112.6,84.4,68.1
112.5,84.3,68.5
156.7,100.1,68
157.3,100.1,68.2
152.8,93.8,66.9
150.3,93.8,69.1
173.1,116.2,77.7
173.6,115.8,76.8
161.2,110.9,77.1
157,110.7,78.1
160.1,103.2,64.2
131.6,89.1,64
136,96.3,68.7
125.1,88.3,64.5
108.8,79.7,64.2
148.7,102.6,65.6
128.8,89.8,67.6
133.4,99,76.7
121.2,91.1,75.5
120.6,87,66.7
110.9,79.4,63.2
148.3,90.5,54.9
144.2,90.3,56.4
153.4,98.7,71.1
120.8,89.2,66
168.3,121.9,88.4
159.6,113.3,87.7
99.8,75.6,61.6
121.8,90,69
130.8,100.7,76.2
113,93.6,76.4
111.4,85.4,64.2
102.3,78.9,63.2
182.1,118.2,72
154.4,94.6,63
115.5,88.5,68.6
149.1,113,87.7
163.8,123.3,90.5
155.3,97.7,68.8
155.9,103.4,69.9
123.4,102.4,84.3
120.6,102.4,86.1
164.4,117.4,82.2
109.7,82.2,61.8
144.1,97.6,67.9
120.9,88,68.6
137.3,97.4,73.5
109.8,75.5,59.5
117.6,72.8,45.8
175.8,116.5,78.9
122.7,85.8,62.3
154.9,100.1,62.2
138.1,91.6,61
192.5,125.6,81.5
140.5,105.7,80.2
118.7,81.6,61.2
155.5,112.8,88.7
152.7,113.2,83.9
140.5,100.2,80
123.7,96.8,74.6
120.4,93.5,78.1
158.1,116.7,84
140.3,105.5,82.7
129,98.6,78.9
147.9,101.7,73
131.4,92.7,65.6
125.2,87.6,66
146,103.4,75.3
131.6,99.3,77.7
117,83.2,58.9
106.3,75.6,57
149.1,103.5,71.4
134.2,95.6,73.2
132.5,88.4,61.4
132.7,100.2,81.5
144.5,92.1,66
133,98.9,78
122.5,100.3,82.5
